line_no,word,pos_list,n_senses,declared_cefr,source_oxford_badge,badge_match,src_cambridge_flag,src_oxford_flag,card_status,card_reason,tags
7,abdominal,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
8,abolish,verb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
9,abortion,noun,1,C1,C1,yes,Oxford,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
10,absence,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W idioms
11,absent,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
12,absorb,verb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
13,abstract,adjective,1,B2,B2,yes,Oxford,AWL,mismatch,1/1 senses failed: sense-text-not-in-source,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 idioms
14,absurd,adjective,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
15,abundance,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
16,abundant,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
17,abuse,noun|verb,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
18,academy,noun,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
19,accelerate,verb,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
20,accent,noun,3,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
21,acceptance,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
22,accessible,adjective,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
23,accidentally,adverb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
24,accommodate,verb,1,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
25,accomplish,verb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
26,accomplishment,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
27,accordingly,adverb,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
28,accountability,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
29,accountable,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
30,accountant,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
31,accumulate,verb,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
32,accumulation,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
33,accuracy,noun,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
34,accurately,adverb,3,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
