line_no,word,lemma,lemma_in_source,declared_cefr,card_reason,category
16,resources,resource,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
21,countermeasures,countermeasure,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
26,disconnected,disconnect,yes,UNCLASSIFIED,2/2 senses failed: sense-text-not-in-source,sense-text-not-in-source
28,narrative,narrative,yes,B1,1/1 senses failed: sense-text-not-in-source,sense-text-not-in-source
30,evolved,evolve,yes,UNCLASSIFIED,2/2 senses failed: word-not-in-source,word-not-in-source
35,lineages,lineage,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
40,setbacks,setback,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
45,domesticated,domesticate,yes,UNCLASSIFIED,1/2 senses failed: sense-text-not-in-source,sense-text-not-in-source
54,concentrations,concentration,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
55,regulations,regulation,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
61,ambition,ambition,yes,B1,1/1 senses failed: sense-text-not-in-source,sense-text-not-in-source
73,competitive,competitive,yes,B1,1/1 senses failed: sense-text-not-in-source,sense-text-not-in-source
74,hyperfocus,hyperfocus,no,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
82,saturating,saturate,yes,UNCLASSIFIED,2/2 senses failed: word-not-in-source,word-not-in-source
87,soullessly,soullessly,no,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
88,invading,invade,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
94,extrapolated,extrapolate,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
103,eliminated,eliminate,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
104,estimates,estimate,yes,UNCLASSIFIED,2/2 senses failed: word-not-in-source,word-not-in-source
105,evidence,evidence,yes,A2,1/1 senses failed: sense-text-not-in-source,sense-text-not-in-source
109,harbored,harbor,no,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
110,harnessing,harness,yes,UNCLASSIFIED,2/2 senses failed: word-not-in-source,word-not-in-source
112,monitors,monitor,yes,UNCLASSIFIED,1/1 senses failed: word-not-in-source,word-not-in-source
